p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
44,25,669.1351378664901,919.2233304609522,False,4.773752514455782e-39,,31,156,False,True
38,28,678.449662087552,919.3882866602655,False,4.7673948073892867e-33,,31,156,False,True
43,21,684.6224684325562,919.4613809907705,False,4.577529240733221e-30,,31,156,False,True
10,53,687.7082852899468,919.4973418409116,True,3.6524127471115527e-47,0.0024316877529780806,15,156,False,True
59,5,684.7500668498376,919.588979408052,False,1.9023662367966768e-28,,31,156,False,True
4,31,773.2196984624042,919.612786810382,True,1.2185806344499169e-37,2.18136014548422e-06,9,156,False,True
39,22,693.9726661695396,919.6620107060053,True,4.613188029032442e-26,,31,156,False,True
21,42,687.8802474494057,919.6693040003705,True,1.87852678241565e-38,0.024698614347817928,26,156,False,True
38,23,693.9805499774021,919.6698945138678,True,3.50237967410833e-26,,31,156,False,True
60,4,684.8628527582805,919.7017653164949,False,1.2375337603339926e-30,,31,156,False,True
24,41,681.9868505640069,919.8756191294708,False,4.042144375789747e-37,0.0034113943789605182,29,156,False,True
23,40,688.1179409063473,919.9069974573121,True,5.825864677181563e-36,0.018176152326625873,28,156,False,True
28,40,672.8800654201129,919.9184020073254,False,2.3937089018207787e-46,0.02211458726690074,31,156,False,True
56,14,666.7952947112828,919.9333433129943,False,1.732877486470836e-30,,31,156,False,True
13,53,679.0127407735895,919.951365346303,True,1.0758701707646904e-43,0.005859060170368786,18,156,False,True
12,51,688.2856495791107,920.0747061300755,True,1.716930050213057e-48,0.05406277370297277,17,156,True,True
11,52,688.3041358560188,920.0931924069836,True,1.7489027259858262e-44,0.003062605078294821,16,156,False,True
10,49,700.5622333749134,920.15186589688,True,1.4271456078570246e-47,0.02478664857825835,15,156,False,True
53,17,667.0740695214952,920.2121181232067,False,6.210304745820663e-34,,31,156,False,True
37,29,679.2766724987148,920.2152970714283,False,8.684307556777245e-33,,31,156,False,True
59,1,697.5847740516521,920.2242625808683,False,2.1150637887954055e-27,,31,156,False,True
44,22,679.3117365754158,920.2503611481293,False,3.4621030138376274e-35,,31,156,False,True
9,55,685.454326813308,920.2932393715223,True,1.898211598219747e-47,0.0124116167696054,14,156,False,True
45,21,679.383279030654,920.3219036033674,False,1.2778790177375415e-32,,31,156,False,True
22,41,688.5333506911984,920.3224072421632,True,1.0538309685198967e-37,0.03491052512931633,27,156,False,True
60,9,670.2589666804588,920.3471592749208,False,1.693144931354895e-27,,31,156,False,True
59,10,670.2743747168738,920.3625673113359,False,1.6955799503296186e-26,,31,156,False,True
52,18,667.2773123488968,920.4153609506084,False,1.0922076472909951e-35,,31,156,False,True
49,19,673.4167400958969,920.4550766831094,False,7.660561731004743e-35,,31,156,False,True
10,48,704.0505224028924,920.5902989176095,True,3.4894967235625186e-44,0.036439528505027095,15,156,False,True
0,6,862.6511753161114,920.5984394538526,True,2.503481034073376e-20,4.0693880843250064e-15,8,156,False,True
58,11,670.5335278422524,920.6217204367144,False,8.884432460602084e-27,,31,156,False,True
60,2,691.9361606327476,920.675361176463,False,5.25977714551771e-26,,31,156,False,True
38,27,682.8821072872882,920.7708758527522,False,1.540788441106194e-30,,31,156,False,True
40,22,692.0468483631533,920.7860489068687,True,1.6925991156506293e-26,,31,156,False,True
31,37,673.7743179243262,920.8126545115385,False,1.784606720448087e-43,,31,156,False,True
34,35,670.8169392023312,920.9051317967933,False,4.809731524961896e-38,,31,156,False,True
32,36,673.8902653227829,920.9286019099953,False,1.3986045371366705e-36,,31,156,False,True
8,46,716.5964764409912,920.9368289267102,True,3.4029322978177686e-49,0.00021126651271086375,13,156,False,True
25,41,680.0364039395945,920.975028512308,False,1.1724983738237745e-42,0.0034007613065523113,30,156,False,True
48,19,677.0597585413619,921.048239121325,False,1.641670033866383e-33,,31,156,False,True
41,25,680.1719510819876,921.110575654701,False,9.899311739962995e-32,,31,156,False,True
47,20,677.1267772059724,921.1152577859355,False,2.5798979183323294e-34,,31,156,False,True
33,36,671.0585293757697,921.1467219702317,False,2.2554565749012387e-36,,31,156,False,True
26,40,680.2103537822967,921.1489783550101,False,1.3641350399259148e-43,0.0027241993088662517,31,156,False,True
11,49,698.5699312626064,921.2094197918225,True,1.9418924498169878e-47,0.014960780125586815,16,156,False,True
35,34,671.1217930927438,921.2099856872059,False,8.152159823656103e-38,,31,156,False,True
39,26,683.3319444907748,921.2207130562388,False,2.719646511650872e-31,,31,156,False,True
54,17,665.0696048461432,921.2575094551044,False,1.17919693730334e-33,,31,156,False,True
40,24,686.4360483419833,921.2749609001977,True,3.583254698597788e-29,,31,156,False,True
16,49,683.4596506558128,921.3484192212767,True,5.409159273164201e-47,0.0007443276847495681,21,156,False,True
11,53,686.5168309152293,921.3557434734437,True,3.6122148247790813e-47,0.001585827841816662,16,156,False,True
5,31,771.9457318190273,921.3886761742547,True,1.7798624821544477e-36,1.301936709334575e-07,10,156,False,True
13,50,689.6466407615025,921.4356973124673,True,4.259666204433235e-48,0.10902158313787093,18,156,True,True
46,21,677.4827587448447,921.4712393248076,False,2.720067824996304e-34,,31,156,False,True
35,32,677.5349185731569,921.52339915312,False,1.8530975375458748e-34,,31,156,False,True
57,13,668.4092462783294,921.547294880041,False,6.325763788501699e-28,,31,156,False,True
34,33,677.5850441945641,921.5735247745272,False,2.2687505161222544e-35,,31,156,False,True
43,25,674.545726746341,921.5840633335534,False,3.0861119415333956e-34,,31,156,False,True
42,22,686.7493613439302,921.5882739021446,False,5.824624108927205e-29,,31,156,False,True
4,32,772.2951254208456,921.738069776073,True,1.6402947386550554e-40,1.5945105852083912e-06,9,156,False,True
20,43,689.9663335753969,921.7553901263617,True,1.6184309962313872e-41,0.009103673836479673,25,156,False,True
12,55,677.8017197275616,921.7902003075246,True,6.249687100276586e-46,0.009370215047548393,17,156,False,True
3,31,778.4641890216994,921.8074213624277,True,2.649902666613078e-45,0.0075239201655318945,8,156,False,True
11,48,702.2519190915782,921.8415516135449,True,1.2091190626968615e-42,0.016658811313699416,16,156,False,True
58,12,668.79421745064,921.9322660523516,False,3.364280614422251e-26,,31,156,False,True
55,16,665.7932719480674,921.9811765570284,False,2.599653657063105e-32,,31,156,False,True
6,31,769.5861188022648,922.0789191647416,True,6.030532064662104e-36,5.427366075972658e-07,11,156,False,True
7,30,769.5990332624356,922.0918336249124,True,2.431658156283528e-35,9.002010937449959e-09,12,156,False,True
14,52,681.1976272146355,922.136251787349,True,3.5394643879260934e-41,0.011501367700126294,19,156,False,True
14,48,693.5459736768987,922.285174220614,True,2.0580914573600797e-41,0.07078653149786855,19,156,True,True
31,38,672.4867255164966,922.5749181109586,False,5.872748477603995e-45,,31,156,False,True
50,19,672.5276597960676,922.6158523905297,False,1.2225543914795947e-33,,31,156,False,True
19,44,690.8507803036829,922.6398368546477,True,1.4271296870045394e-41,0.0017099941892390939,24,156,False,True
9,51,700.0807076266922,922.7201961559083,True,1.4857401637493162e-49,0.023685519407194426,14,156,False,True
22,42,687.9579342764187,922.796846834633,True,3.464170055478771e-38,0.02137886945000358,27,156,False,True
10,50,700.2152390267845,922.8547275560006,True,3.3976790087800063e-47,0.03489863555859185,15,156,False,True
16,48,688.0355806091434,922.8744931673577,True,2.745131073565185e-44,0.00219672323446127,21,156,False,True
56,15,666.774193312931,922.9620979218921,False,3.890147587906581e-31,,31,156,False,True
15,49,688.1779296098565,923.0168421680709,True,1.0552578479741953e-48,0.003332531014724952,20,156,False,True
14,49,691.2556934212895,923.0447499722543,True,4.610275358995002e-44,0.07460647873656791,19,156,True,True
42,24,682.1538249928572,923.0924495655706,False,1.0406103954461876e-29,,31,156,False,True
10,54,688.2752211684841,923.1141337266985,True,3.3937619992882866e-46,0.0025061001346855342,15,156,False,True
52,19,666.9414920997676,923.1293967087288,False,1.5572893649749695e-35,,31,156,False,True
2,15,831.6729806119818,923.1686608294679,True,5.434205821939434e-29,1.437396811638122e-17,8,156,False,True
24,42,682.2511955663762,923.1898201390895,False,5.37724972385294e-40,0.0029935806956068512,29,156,False,True
18,46,688.4370972368797,923.2760097950941,True,5.061191604416079e-45,0.0010426360583543426,23,156,False,True
27,40,679.3156841012833,923.3041646812462,False,7.549618900829547e-45,0.004571369401186837,31,156,False,True
16,50,682.4063610999426,923.3449856726561,True,4.5247972599274605e-48,0.000555100148574606,21,156,False,True
44,24,676.38370187226,923.4220384594724,False,1.0855595176447572e-35,,31,156,False,True
40,26,682.5900878933951,923.5287124661086,False,3.6788987312239595e-31,,31,156,False,True
17,47,688.7062346099403,923.5451471681547,True,4.509259868988287e-43,0.0010037237539352296,22,156,False,True
30,39,673.4793774379332,923.5675700323952,False,1.55996129523291e-45,0.0014677061523693802,31,156,False,True
3,32,777.1751012578443,923.568189605822,True,2.3330272349921763e-47,0.005140697152284006,8,156,False,True
32,0,786.337587641635,923.5811079678641,True,1.0411983561682285e-14,,31,156,False,True
16,52,676.5563361162372,923.5946727034496,True,8.480206709482018e-44,0.0006306582475357782,21,156,False,True
45,25,670.4638049300459,923.6018535317575,False,4.074494475751426e-39,,31,156,False,True
15,48,691.8144125984949,923.6034691494597,True,2.685929756651959e-44,0.01350674843866149,20,156,False,True
