station_id,grid_id,cell_x,cell_y,center_lon,center_lat,source_region,brand,is_self
A0000346,G500_1897_3892,948500,1946000,126.92007718,37.51411298,서울,S-OIL,셀프
A0000347,G500_2016_3500,1008000,1750000,127.59124808,35.74856464,전북,HD현대오일뱅크,일반
A0000348,G500_1903_3888,951500,1944000,126.9541537,37.49624827,서울,SK에너지,일반
A0000350,G500_1892_3887,946000,1943500,126.89197245,37.49143782,서울,S-OIL,일반
A0000354,G500_2076_3787,1038000,1893500,127.93012376,37.04152177,충북,자가상표,일반
A0000355,G500_1897_3889,948500,1944500,126.92018176,37.50059319,서울,SK에너지,일반
A0000356,G500_1832_3936,916000,1968000,126.54983906,37.71000474,경기,자가상표,일반
A0000358,G500_1877_3885,938500,1942500,126.80721997,37.4819577,경기,자가상표,일반
A0000360,G500_1995_3701,997500,1850500,127.47482569,36.65466836,충북,SK에너지,일반
A0000361,G500_1959_3867,979500,1933500,127.27119877,37.40264365,경기,SK에너지,일반
A0000362,G500_1897_3889,948500,1944500,126.92018176,37.50059319,서울,GS칼텍스,일반
A0000363,G500_1875_3890,937500,1945000,126.79569849,37.50442333,경기,S-OIL,일반
A0000364,G500_1875_3890,937500,1945000,126.79569849,37.50442333,경기,S-OIL,일반
A0000365,G500_1867_3421,933500,1710500,126.770512,35.39024151,전남,S-OIL,일반
A0000366,G500_1884_3828,942000,1914000,126.84902709,37.22530399,경기,HD현대오일뱅크,일반
A0000367,G500_1895_3889,947500,1944500,126.90886878,37.50053712,서울,GS칼텍스,일반
A0000368,G500_1904_3888,952000,1944000,126.9598099,37.49627427,서울,HD현대오일뱅크,셀프
A0000369,G500_1947_3918,973500,1959000,127.20249545,37.63233776,경기,SK에너지,일반
A0000370,G500_1897_3892,948500,1946000,126.92007718,37.51411298,서울,HD현대오일뱅크,셀프
A0000371,G500_1897_3890,948500,1945000,126.92014691,37.50509979,서울,GS칼텍스,일반
A0000372,G500_2058_3852,1029000,1926000,127.83019296,37.33480027,강원,HD현대오일뱅크,일반
A0000373,G500_2203_3431,1101500,1715500,128.62095246,35.43232467,경남,GS칼텍스,셀프
A0000374,G500_1909_3834,954500,1917000,126.98974227,37.25303574,경기,HD현대오일뱅크,일반
A0000375,G500_1897_3890,948500,1945000,126.92014691,37.50509979,서울,S-OIL,일반
A0000376,G500_1893_3889,946500,1944500,126.89755584,37.50047997,서울,자가상표,일반
A0000379,G500_1903_3888,951500,1944000,126.9541537,37.49624827,서울,SK에너지,일반
A0000380,G500_1883_3904,941500,1952000,126.84039648,37.56777557,서울,SK에너지,일반
A0000382,G500_1897_3890,948500,1945000,126.92014691,37.50509979,서울,S-OIL,일반
A0000384,G500_1897_3889,948500,1944500,126.92018176,37.50059319,서울,GS칼텍스,일반
A0000386,G500_1897_3890,948500,1945000,126.92014691,37.50509979,서울,SK에너지,일반
A0000387,G500_1893_3889,946500,1944500,126.89755584,37.50047997,서울,자가상표,일반
A0000389,G500_1935_3894,967500,1947000,127.13502389,37.52398634,서울,GS칼텍스,일반
A0000391,G500_1900_3889,950000,1944500,126.93715129,37.50067526,서울,S-OIL,일반
A0000392,G500_1894_3890,947000,1945000,126.90317643,37.50501526,서울,S-OIL,일반
A0000394,G500_1916_3917,958000,1958500,127.02685915,37.62725748,서울,S-OIL,셀프
A0000397,G500_1893_3889,946500,1944500,126.89755584,37.50047997,서울,자가상표,일반
A0000400,G500_1893_3889,946500,1944500,126.89755584,37.50047997,서울,HD현대오일뱅크,셀프
A0000401,G500_1832_3936,916000,1968000,126.54983906,37.71000474,경기,SK에너지,일반
A0000402,G500_1933_3845,966500,1922500,127.12481013,37.30311752,경기,SK에너지,일반
A0000406,G500_1896_3892,948000,1946000,126.91441967,37.51408507,서울,SK에너지,일반
A0000408,G500_1895_3891,947500,1945500,126.90879771,37.5095503,서울,SK에너지,셀프
A0000409,G500_1895_3889,947500,1944500,126.90886878,37.50053712,서울,GS칼텍스,셀프
A0000410,G500_1895_3889,947500,1944500,126.90886878,37.50053712,서울,GS칼텍스,셀프
A0000412,G500_1893_3889,946500,1944500,126.89755584,37.50047997,서울,SK에너지,셀프
A0000414,G500_1901_3860,950500,1930000,126.94377587,37.37000867,경기,SK에너지,일반
A0000415,G500_1876_3824,938000,1912000,126.8041066,37.20702073,경기,S-OIL,일반
A0000419,G500_1894_3890,947000,1945000,126.90317643,37.50501526,서울,S-OIL,일반
A0000420,G500_1895_3891,947500,1945500,126.90879771,37.5095503,서울,자가상표,일반
A0000421,G500_1895_3891,947500,1945500,126.90879771,37.5095503,서울,HD현대오일뱅크,셀프
A0000425,G500_1903_3887,951500,1943500,126.95418649,37.49174164,서울,HD현대오일뱅크,일반
A0000426,G500_1908_3885,954000,1942500,126.98252808,37.48285559,서울,HD현대오일뱅크,셀프
A0000427,G500_1893_3889,946500,1944500,126.89755584,37.50047997,서울,HD현대오일뱅크,셀프
A0000428,G500_1894_3886,947000,1943000,126.90331987,37.4869889,서울,HD현대오일뱅크,셀프
A0000429,G500_1900_3889,950000,1944500,126.93715129,37.50067526,서울,SK에너지,일반
A0000430,G500_1905_3891,952500,1945500,126.96536972,37.5098199,서울,HD현대오일뱅크,셀프
A0000431,G500_1896_3892,948000,1946000,126.91441967,37.51408507,서울,SK에너지,일반
A0000433,G500_1897_3889,948500,1944500,126.92018176,37.50059319,서울,SK에너지,셀프
A0000436,G500_1894_3890,947000,1945000,126.90317643,37.50501526,서울,자가상표,일반
A0000438,G500_1893_3889,946500,1944500,126.89755584,37.50047997,서울,SK에너지,일반
A0000441,G500_1893_3889,946500,1944500,126.89755584,37.50047997,서울,자가상표,일반
A0000442,G500_1897_3890,948500,1945000,126.92014691,37.50509979,서울,S-OIL,일반
A0000443,G500_1894_3890,947000,1945000,126.90317643,37.50501526,서울,S-OIL,셀프
A0000444,G500_1893_3889,946500,1944500,126.89755584,37.50047997,서울,GS칼텍스,셀프
A0000445,G500_1948_3897,974000,1948500,127.20853138,37.53771101,경기,SK에너지,셀프
A0000446,G500_1854_3901,927000,1950500,126.67636617,37.55322512,인천,자가상표,일반
A0000447,G500_1935_3873,967500,1936500,127.13548386,37.42934439,경기,S-OIL,일반
A0000451,G500_1891_3974,945500,1987000,126.88307756,37.88346792,경기,S-OIL,일반
A0000452,G500_2074_3771,1037000,1885500,127.91848349,36.96944856,충북,GS칼텍스,셀프
A0000453,G500_1887_3899,943500,1949500,126.86323428,37.54536738,서울,SK에너지,일반
A0000456,G500_1880_3887,940000,1943500,126.82410372,37.49106902,서울,SK에너지,일반
A0000458,G500_1902_3939,951000,1969500,126.94679764,37.72605545,경기,SK에너지,일반
A0000459,G500_1878_3902,939000,1951000,126.81217202,37.5586011,서울,알뜰주유소,일반
A0000460,G500_1923_3829,961500,1914500,127.06880334,37.23081508,경기,HD현대오일뱅크,일반
A0000461,G500_1919_3927,959500,1963500,127.043582,37.67239017,서울,HD현대오일뱅크,일반
A0000462,G500_1867_3884,933500,1942000,126.75071576,37.47710611,인천,SK에너지,일반
A0000463,G500_1917_3838,958500,1919000,127.03473562,37.27124899,경기,HD현대오일뱅크,일반
A0000464,G500_1935_3738,967500,1869000,127.13839005,36.82089551,충남,S-OIL,일반
