구분,보통휘발유,자동차용경유
19년08월3주,577.00,645.16
19년08월4주,567.44,630.11
19년09월1주,571.47,643.21
19년09월2주,569.95,642.74
19년09월3주,588.12,657.37
19년09월4주,604.40,666.13
19년10월1주,597.26,655.61
19년10월2주,585.05,648.57
19년10월3주,584.32,651.59
19년10월4주,584.37,647.25
19년10월5주,553.99,622.71
19년11월1주,584.77,650.35
19년11월2주,590.37,668.66
19년11월3주,601.19,665.00
19년11월4주,597.25,651.99
19년12월1주,614.19,665.19
19년12월2주,617.85,680.16
19년12월3주,621.60,693.31
19년12월4주,610.90,665.84
20년01월1주,605.20,658.54
20년01월2주,630.55,692.49
20년01월3주,613.41,676.97
20년01월4주,599.91,654.57
20년01월5주,558.06,607.06
20년02월1주,567.51,609.57
20년02월2주,547.72,588.62
20년02월3주,544.30,581.32
20년02월4주,529.29,558.75
20년03월1주,530.59,553.12
20년03월2주,468.65,498.43
20년03월3주,414.12,448.69
20년03월4주,348.68,409.07
20년04월1주,297.59,379.37
20년04월2주,310.30,386.50
20년04월3주,298.71,373.51
20년04월4주,274.44,344.58
20년04월5주,247.01,304.16
20년05월1주,269.98,322.40
20년05월2주,303.30,360.84
20년05월3주,333.47,382.03
20년05월4주,354.61,396.15
20년06월1주,386.15,425.31
20년06월2주,422.96,455.58
20년06월3주,421.89,459.60
20년06월4주,418.54,452.62
20년07월1주,406.12,441.52
20년07월2주,420.12,458.84
20년07월3주,417.95,457.23
20년07월4주,423.36,460.97
20년07월5주,393.56,437.94
20년08월1주,421.65,464.93
20년08월2주,428.39,467.83
20년08월3주,424.79,458.99
20년08월4주,407.27,441.14
20년09월1주,404.17,431.68
20년09월2주,412.59,442.57
20년09월3주,398.61,425.02
20년09월4주,389.78,419.39
20년09월5주,375.13,391.08
20년10월1주,402.05,420.26
20년10월2주,403.66,425.60
20년10월3주,395.33,418.12
20년10월4주,365.04,388.52
20년11월1주,389.80,411.52
20년11월2주,390.12,417.60
20년11월3주,401.82,427.12
20년11월4주,403.22,431.29
20년12월1주,409.33,442.99
20년12월2주,444.96,476.78
20년12월3주,474.57,503.85
20년12월4주,479.30,515.04
20년12월5주,454.53,491.87
21년01월1주,490.79,523.35
21년01월2주,495.23,528.07
21년01월3주,500.80,534.93
21년01월4주,467.95,502.15
21년02월1주,483.07,516.51
21년02월2주,511.75,545.96
21년02월3주,532.61,571.06
21년02월4주,526.24,560.91
21년03월1주,550.98,583.85
21년03월2주,589.34,621.39
21년03월3주,602.50,630.25
21년03월4주,594.70,619.83
21년03월5주,555.51,580.50
21년04월1주,578.81,589.74
21년04월2주,578.20,598.34
21년04월3주,578.88,591.98
21년04월4주,563.34,582.12
21년05월1주,593.81,602.86
21년05월2주,625.60,638.38
21년05월3주,622.94,636.08
21년05월4주,606.02,628.05
21년06월1주,602.15,624.10
21년06월2주,649.62,671.50
21년06월3주,644.07,667.57
21년06월4주,657.49,682.61
21년06월5주,642.59,668.30
