p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
9,14,-4268.513154076641,-4063.574258744366,True,1.0329546031049447e-11,0.0013732165585832758,14,1095,False,True
10,14,-4273.1947805094005,-4063.2573755348753,True,1.3508814190118832e-11,0.012149252932974454,15,1095,False,True
11,12,-4268.146972333749,-4063.208077001474,True,3.685711878097926e-11,0.020574825083247587,16,1095,False,True
12,9,-4257.626846589584,-4062.6849705418103,True,2.1537946625366246e-09,0.01087754019537779,17,1095,False,True
12,11,-4267.483872407743,-4062.544977075468,True,9.742717541955438e-11,0.020786489850512034,17,1095,False,True
13,8,-4256.760930191913,-4061.8190541441395,True,1.03863447328446e-09,0.007715047357600955,18,1095,False,True
8,8,-4231.559316023346,-4061.6099881868254,True,1.3736949867784474e-09,1.087922197684024e-05,14,1095,False,True
8,11,-4246.501329419714,-4061.556472656442,True,5.013188486060506e-10,1.5083197165335666e-05,14,1095,False,True
14,11,-4274.64079122813,-4059.7048766113544,True,1.4059835011813354e-10,0.25596490098676583,19,1095,True,True
10,7,-4233.950768769458,-4059.002931290687,True,1.5744144151333647e-06,0.011128779100695553,15,1095,False,True
14,9,-4263.632164984906,-4058.6932696526314,True,1.1049148834436323e-08,0.16812534329791268,19,1095,True,True
9,15,-4268.343934290527,-4058.4065293160015,True,3.702547704843469e-11,0.0012340309277938683,14,1095,False,True
11,13,-4268.019337543633,-4058.0819325691077,True,1.1535427738835631e-10,0.013573119907460376,16,1095,False,True
15,8,-4262.92511223014,-4057.9862168978657,True,6.256183954021192e-09,0.20022314333623203,20,1095,True,True
10,15,-4272.610516757269,-4057.674602140493,True,4.45240529758545e-11,0.01225720010661375,15,1095,False,True
8,9,-4232.2427985083705,-4057.2949610295996,True,2.193737419894141e-09,1.20805370679569e-05,14,1095,False,True
12,10,-4257.14366694058,-4057.2032812505563,True,3.0785632973595063e-09,0.008910845027287333,17,1095,False,True
12,12,-4266.334224254355,-4056.3968192798297,True,1.7042761531848416e-11,0.01940464104947184,17,1095,False,True
11,14,-4271.329197815003,-4056.393283198227,True,9.679794968849467e-12,0.012772625670704859,16,1095,False,True
8,12,-4245.929763113738,-4055.986396708215,True,2.3652999571146636e-10,1.7021169940822985e-05,14,1095,False,True
13,9,-4255.925762631154,-4055.9853769411297,True,1.7667224240524371e-09,0.006547316795277099,18,1095,False,True
13,11,-4265.846208762194,-4055.9088037876686,True,6.218505444574239e-11,0.008988519838702476,18,1095,False,True
9,7,-4224.912886421922,-4054.9635585854016,True,8.172101009844148e-07,0.00023874761730691537,14,1095,False,True
14,12,-4273.752517694155,-4053.818093435129,True,1.9054570529665773e-11,0.265592113033019,19,1095,True,True
14,10,-4263.172632254491,-4053.235227279966,True,1.485112366918599e-08,0.15487076604412972,19,1095,True,True
15,11,-4273.09538629573,-4053.160962036704,True,1.5170675524220252e-10,0.2762374601189183,20,1095,True,True
15,9,-4262.182074496057,-4052.2446695215317,True,1.2052352682659294e-08,0.19418195373607516,20,1095,True,True
11,7,-4232.183495857635,-4052.237148736613,True,1.6680092709447182e-06,0.007689203971656031,16,1095,False,True
16,8,-4261.915773674161,-4051.9783686996357,True,4.138045775448552e-09,0.13555929302864778,21,1095,True,True
9,16,-4266.346434916426,-4051.41052029965,True,7.987549612409195e-11,0.0012456340192235759,14,1095,False,True
8,14,-4251.256585605171,-4051.3161999151466,True,1.6539109045773475e-11,5.869547349956509e-06,14,1095,False,True
8,13,-4246.233357713514,-4051.291481665741,True,5.798387868935644e-10,1.105918360226761e-05,14,1095,False,True
12,13,-4266.090373216271,-4051.154458599495,True,5.641359172321086e-11,0.012657030459241303,17,1095,False,True
10,16,-4270.80537649383,-4050.870952234804,True,8.672559323252991e-11,0.013600179117459326,15,1095,False,True
11,15,-4270.762437333581,-4050.8280130745547,True,3.138069912063444e-11,0.012968037592824954,16,1095,False,True
13,10,-4255.386911544418,-4050.448016212143,True,2.7031984658597856e-09,0.005302793352592327,18,1095,False,True
8,10,-4230.302019700322,-4050.3556725793,True,4.5369271171935465e-09,1.2956907734181906e-05,14,1095,False,True
13,12,-4264.702873571104,-4049.766958954328,True,8.485091804305249e-12,0.008368762939207674,18,1095,False,True
12,14,-4269.339070727441,-4049.4046464684147,True,4.843756278766609e-12,0.011662416577964798,17,1095,False,True
